Baxazole-D    (Baxter )
Amtraxa    (Amarant)
Amtri    (Mian)
Amtril    (Jawa)
Amural    (Jawa)
Amvasc    (Aries)
Amvax-B    (Amson)
Amvazam    (Cirin)
Amvidol    (Jayson)
Amvit    (Bloom)
Amxim    (Ambro)
Amydrine    (Delux)
Amygra    (Tabros)
Amyline    (Siza)
Amzee    (Bloom)
Amzole    (Pulse)
Anabact    (Pharma Health)
Anac    (Rasco)
Anacaine    (Akson)
Anacid    (Alina)
Anacin    (Zephyr)
Anacobin    (E Pharm)
Anaefer    (Flow)
Anaezole    (Ceicil)
Anaf    (Vega)
Anafortan Plus    (Agp)
Anafril    (Glitz)
Analar    (Agp)
Analfen    (Baxter )
Analgin    (Opal)
Analid    (Ppp)
Analin    (Medicaids)
Analphene    (Lisko)
Analvon    (Munawar)
Anam    (Tagma)
Anamol    (Pdh)
Anapan    (Star)
Anapan Forte    (Star)
Anapaz    (Hilton)
Anapen Forte    (Pharmix)
Anaphene    (Shifa)
Anaprin    (Opal)
Anaprox    (Jinnah)
Anapyrin    (Specific)
Anaren    (Sharex)
Anarex    (Imco)
Anarob    (Global)
Anarom    (Caylex)
Anaroxyl    (Obs)
Anasef    (Mass)
Anastrozole    (Novartis)
Anasynth    (Siza)
Anata    (Medisave)
Anatac    ()
Anatetal    (Amson)
Anatrate    (Mediate)
Anaxeryl    (Seignior)
Anbac    (Navegal)
Ancip    (Envoy)
Anclox    (Ankaz)
Andepro    (Pulse)
Andic-K    (Novamed)
Andrex    (Obs)
Androcur    (Bayer)
Androxon    (Obs)
Andrviron    (Global)
Anemfer    (Evergreen)
Anemix    (Standpharm)
Anemovit    (Pharmacare)
Aneptil    (Alina)
Anew Lotion    (Derma Tech)
Anex    (Pharmevo)
Anexate    (Martin)
Anferon    (Ccl)
Anferon Pfs    (Ccl)
Anfocin    (Rotex)
Anfogen    (Ferozson)
Anfotericina Fada    (Medinet)
Angepine    (Angelini)
Angesic    (Mass)
Angi    (Drug)
Angilingual    (Zafa)
Angilock    (Venus)
Anginil    (Noa Hemis)
Anginor    (Werrick)
Angiocard    (Biogenics)
Angiotan    (Efroze)
Angiotan H    (Efroze)
Angipin    (Standpharm)
Angipro    (Unimark)
Angised    (Gsk)
Angizem    (Macter)
Anglo    (Euro)
Angloalka    (Euro)
Anglocid    (Euro)
Anglocillin    (Euro)
Anglocin    (Euro)
Anglocycline    (Euro)
Anglodryl    (Euro)
Anglofen    (Euro)
Anglolexin    (Euro)
Anglolol    (Euro)
Anglolycline    (Euro)
Anglomonia    (Euro)
Anglopam    (Euro)
Angloplex    (Euro)
Anglosone    (Euro)
Anglovit    (Euro)
Anglozem    (Euro)
Anhibit    (Medicraft)
Anhibit Plus    (Medicraft)
Anibone    (Pharmix)
Anifed    (Tread)
Anifen    (Medera)
Animol    (Trigon)
Anine    (Nexus)
Anitmala    (Irza)
Anizol    (Pharmix)
Ankavid    (Ankaz)
Ankos    (Ankaz)
Anmol    (Roryan Pharma)
Ann-Vil    (Venus)
Annuva    (Novartis)
Anodyne    (Lexicon)
Anomed    (Evergreen)
Anorcid    (Adamjee)
Anorol    (Medera)
Anorol Forte    (Medera)
Anovir    (Caraway)
Anoxonil    (Z-Jans)
Anpra    (Cirin)
Anrid    (Evron)
Ansaid    (Pfizer)
Anscon    (Ophth-Pharma)
Anso    (Shaigan)
Antamol    (Pfizer)
Antasil    (Krka-Pak)
Antazolin    (Venus)
Antazoline    (Zafa)
Antazoline    (Lcpw)
Antazoline    (Orient)
Anthel    (Medera)
Anthelmin    (Siza)
Anthex    (Fozan)
Anthracin    (Atco)
Anti Rabies Serum    (Hospital Services)
Anti Worm    (Pharmacare)
Anti- Sneeze    (Gray'S)
Anti-B Vaccine    (Werrick)
Anti-C    (Werrick)
Anti-Pain    (Medicraft)
Antial    (Sami)
Antibioptal    (Himont Pharma)
Antichol    (Brookes)
Anticip    (Jaens)
Anticlot    (Euro)
Anticoag    (Don Valley)
Antifen    (Pharmix)
Antifin    (English)
Antiflam    (Wilshire)
Antifocine    (Nenza)
Antifun    (Mendoza)
Antifung    (Medicraft)
Antimal Tablet    (Pharmevo)
Antimal-Rapid    (Pharmevo)
Antimic    (Danas)
Antimin    (Shaigan)
Antinaus    (Polyfine)
Antine    (Wise)
Antiplast    (Webrose)
Antiplat    (Fassgen)
Antivid-P    (Genome)
Antivil    (Orient)
Antiworm    (Wilshire)
Antixin    (Biolabs)
Antmal    (Pfizer)
Antolol    (Spencer)
Anton    (Jinnah)
Antra    (Medera)
Antrima    (Aventis)
Antrix    (Fynk)
Anxiorid    (Medicraft)
Anxit    (Atco)
Anxnil    (Pharmix)
Anxolite    (Epla)
Anxosal    (Universal)
Anxoten    (Bloom)
Anxoten    (Shafaz)
Anzatax    (Atco)
Anzee Sr    (Amarant)
Anziron    (Star)
Anzmet    (Roryan Pharma)
Anzo    (Searle)
Anzol    (Indus)
Anzole Capsule    (Shawan)
Anzole Injection    (Hygeia)
Anzonil    (Global)
Aok    (Novartis)
Aparox    (Siza)
Apaurin    (Krka-Pak)
Apcom    (Kci)
Apdoxy    (Euro)
Apecirin    (Alfalah Pharma)
Apegar    (Ethel)
Apent    (Farmaceutics)
Apent Plus    (Farmaceutics)
Apentral    (Alson)
Aphylin    (Obsons)
Apidra  Solostar    (Aventis)
Apimate    (Tg)
Apiscot    (Scotmann)
Apitiz    (Swiss Pharma)
Apiton    (Euro)
Apizole    (Mediate)
Aplate    (Pharmacare)
Aplene    (Amarant)
Aplox    (Bloom)
Apnotek    (Euro)
Apoclox    (Pdh)
Apodox    (Alliance)
Apofer    (Platinum)
Apofer-F    (Platinum)
Apolex    (Mediceena)
Aponip    (Pharmatec)
Apotex    (Novamed)
Appdom    (Delux)
Appease Cr       (Everest)
Appevit    (Wilsons)
Apple    (Amson)
Apprid    (Usawa)
Apquin    (Euro)
Apranax    (Roche)
Apreon    (Ferozson)
Apridin    (Pacific)
Apro Suspension    (Panacea)
Apro Tablet    (Ambrosia)
Aprogesic    (Aries)
Aprolex    (Alliance)
Aprovel    (Aventis)
Aproxen    (Schazoo)
Apsar    (Star)
Apsin    (Saffron)
Apt    (Nexus)
Aptadine    (Barrett)
Aptahist    (Aptcure)
Aptec    (Aries)
Aptex    (Aptcure)
Apticip    (Aptcure)
Apticlar    (Aptcure)
Aptidopa    (Aptcure)
Aptigar    (Evergreen)
Aptil    (Pearl)
Aptimac    (Aptcure)
Aptipar    (Aptcure)
Aptipride    (Aptcure)
Aptisant    (Aptcure)
Aptizid    (Aptcure)
Aptizole    (Global)
Apton    (Aries)
Aqona Teas Eye Drops    (Macquins)
Aqpine    (Shawan)
Aqua Elite    (Elite)
Aqua Gem E-400    (Pharmako)
Aqua Pro    (Orient)
Aqua Pro    (Irza)
Aqua Pro    (Mass)
Aqua Vit    (Wilsons)
Aquanone    (Trigon)
Aquasin    (Siza)
Aquasteril    (Medipak)
Aquatears    (Macquins)
Aquazole    (Seatle)
Aqueous    (Asian)
Aquin    (Searle)
Araam    (Alliance)
Araam Sr    (Alliance)
Aradine    (Ar)
Aradroxil    (Ar)
Aram Plus    (Bosch)
Aramfen    (Basel )
Arandox    (Geofman)
Arapime    (Ar)
Araqal    (Hilton)
Arasalzone    (Ar)
Arataxime    (Ar)
Aravil    (Pharmevo)
Araxin    (Ardin)
Araxone    (Ar)
Arbev    (Pearl)
Arbi-D    (Pharmevo)
Arbinen    (Nenza)
Arbiprofen    (Arsons)
Arcalion    (Servier)
Arcam    (Saydon)
Arceva    (Sami)
Arcilin    (Ardin)
Arcin    (Linear)
Arcofix    (Ppp)
Arcofloxin    (Ppp)
Arcomin    (Ppp)
Arcomox    (Ppp)
Arcox    (Maq)
Arcozid    (Ppp)
Arcozol    (Ppp)
Ardepin    (Ardin)
Ardfame    (Ardin)
Ardfenac    (Ardin)
Ardi    (English)
Ardi-K    (English)
Ardilium    (Ardin)
Ardiphage    (Ardin)
Ardiplex    (Ardin)
Ardizin    (Ardin)
Ardizol    (Ardin)
Ardor    (Elko)
Ardox    (English)
Aredia    (Novartis)
Aredox    (Ardin)
Arex    (Danas)
Arfant    (Meditech)
Arfant Fort    (Meditech)
Arginotri-B    (Ellahi)
Aria    (Highnoon)
Aricef    (Aries)
Aridol    (Aries)
Ariflam    (Aries)
Ariflox    (Aries)
Arigem    (Aries)
Arigesic    (Aries)
Arilax    (Elite)
Arimidex    (Ici)
Arinac    (Abbott)
Arinac Blister    (Abbott)
Arinac Forte    (Abbott)
Aripa    (Platinum)
Aripan    (Medizan Lab)
Aripip    (Pharmatec)
Aripra    (Mark)
Ariprazol    (Noa Hemis)
Arista    (S.J.& G)
Aristin-C    (A.J)
Arithro    (Novamed)
Ariva    (Bosch)
Arivan    (Aries)
Arix    (Tabros)
Arixime    (Ar)
Arixtra Injection    (Gsk)
Arixtra Tablet    (Meditech)
Ariza    (Hilton)
Arizip    (Genome)
Arizole    (Amarant)
Arizon    (Aries)
Arja    (Unimark)
Ark    (W & Ali)
Arket    (Pharmatec)
Arlec    (Fassgen)
Arloxin    (Ppp)
Arlufa    (Zafa)
Armada    (Scotmann)
Arman    (Goodman L)
Armasure    (Medisure)
Armefin    (Shazal)
Armer    (Goodman L)
Armeth    (Medera)
Armex    (Qintar)
Armicap    (Navegal)
Armiqin    (Pharmevo)
Armizol    (Wise)
Armotraz    (A.J.Mirza)
Armycin    (Batala)
Arneez    (Welmark)
Arnil    (Brookes)
Arnolive    (Pharman)
Arodium    (Ardin)
Aromasin    (Pfizer)
Aromek    (Galaxy)
Aropen    (Hygeia)
Arophin    (Ardin)
Aropotin    (Gene-Tech Labs)
Arosal F    (Alliance)
Aroxe    (Global)
Aroxitin    (Everest)
Arozine    (Global)
Arpicillin    (Aventis)
Arpim    (Ardin)
Arpimox    (Aventis)
Arro    (Tabros)
Arsicam    (Linear)
Arslide    (R.Y)
Arsofin    (Martin)
Arsozole    (Arsons)
Artazide    (Pharmatec)
Arteblax    (Medicaids)
Arteblax L    (Medicaids)
Artecap    (Ottoman)
Artecid    (Biogen)
Artecxin    (Highnoon)
Artecxin  Forte Dispersible    (Highnoon)
Artecxin Dispersible    (Highnoon)
Artecxin Forte    (Highnoon)
Artecxin Plus    (Highnoon)
Artedan Capsule    (Danas)
Artedan Tablet    (Florence)
Artedoxin    (Efroze)
Artedoxin P    (Efroze)
Artefrost    (Hamaz)
Artegen    (Fassgen)
Artek    (Noa Hemis)
Arteluf    (Alson)
Artelum    (Woodward)
Artelum Ez    (Woodward)
Artelum Forte    (Woodward)
Artem    (Hilton)
Artem Plus    (Hilton)
Artemal    (Tabros)
Artemax    (Ottoman)
Artemax Plus    (Star)
Artemed    (Medley)
Artemef    (Panacea)
Artemet    (Pulse)
Artemet L    (Pulse)
Artemex    (Schazoo)
Artemex L    (Schazoo)
Artemex L Forte    (Schazoo)
Artemose    (Friends)
Artepearl    (Pearl Pharma)
Artepearl Ds    (Pearl Pharma)
Artepip    (Helix)
Artequine    (Platinum)
Artesinate    (Gray'S)
Artesul    (Zafa)
Artewin    (Winilton)
Artex    (Pharmedic)
Arteza    (Zafa)
Arth    (Nimrall)
Artham    (Weather)
Artheget    (Getz)
Artheget Ez    (Getz)
Artheget Junior    (Getz)
Arthelu    (Universal)
Arther    (Focus & Rulz)
Arther Forte    (Focus & Rulz)
Artherman    (Medimarkers)
Arthicare    (Searle)
Artho    (Shaigan)
Artho Plus    (Shaigan)
Arthonil    (Batala)
Arthopot    (Genome)
Arthosure    (Medisure)
Arthrofen    (Nabiqasim)
Arthroflex Max    (Highnoon)
Arthron    (Spencer)
Arthrotec-50    (Pfizer)
Arthrotop    (Panacea)
Arthrox    (Swiss Pharma)
Arthrox Topical    (Swiss Pharma)
Arti    (Nexus)
Arti-L    (Kci)
Arti-M    (Eros)
Artic    (Shrooq)
Articam    (Standpharm)
Articox    (Global)
Articoxib    (Nabiqasim)
Articrown    (Crown)
Articure    (Global)
Artifen    (Abbott)
Artifen Topical    (Abbott)
Artiflex    (Standpharm)
Artijesic    (Medisearch)
Artilage    (S.J.& G)
Artilage Plus    (S.J.& G)
Artilide    (Global)
Artilum    (Wnsfeild)
Artimal    (Aptcure)
Artimal Forte    (Aptcure)
Artimax    (Star)
Artimax Plus    (Star)
Artimed    (Rogen)
Artimet    (Hansel)
Artiminum    (Genome)
Artiminum Fort    (Genome)
Artimov-K    (Barrett)
Artimrine    (Crown)
Artine    (Adamjee)
Artinex    (Nexus)
Artinil    (Global)
Artinil-K    (Global)
Artinil-K Topical    (Global)
Artipro    (Helix)
Artiquin    (Genome)
Artisaf    (Friends)
Artitar    (Alliance)
Artiwel    (Weather)
Artiwin    (Wnsfeild)
Artmed    (Meditech)
Artobin    (Winbrain)
Artocel    (Honig)
Artonec    (Biogenics)
Artrine    (Obs)
Artrodar    (Highnoon)
Artwel    (Welmed)
Arubex-T    (Progressive Lab)
Arufen    (Progressive Lab)
Arulid    (Alliance)
Arunaplex    (Progressive Lab)
Arutox    (Progressive Lab)
Arveda    (Pharmafive)
Arvid    (Shrooq)
Arvin    (Zinta)
Arynoin    (Pharma Health)
Arynoin Plus    (Pharma Health)
Arysa    (Helix)
Arzip    (Genome)
Arzol    (Shrooq)
Arzolin    (Ardin)
Asa    (Don Valley)
Asacol    (Getz)
Asalkar    (Davis)
Asazine    (Zephyr)
Ascabiol    (Aventis)
Ascabion    (Lisko)
Ascamol    (Eros)
Ascard    (Atco)
Ascard Plus    (Atco)
Ascogin    (Macter)
Ascorb    (Venus)
Ascorbic    (Orient)
Ascorbic Acid    (Kpl)
Ascorbic Acid    (Albro)
Ascorbic Acid    (Epla)
Ascorbic Acid    (Ethical)
Ascorbic Acid    (Irza)
Ascorbic Acid    (Munawar)
Ascorbic Acid    (Mendoza)
Ascorbic Acid    (Medicaids)
Ascorbic Acid    (Lisko)
Ascorbic Acid    (Geofman)
Ascorbin    (Kohs)
Ascorbion    (Nawabsons Labs)
Ascorbon    (Pfizer)
Ascorcid    (Star)
Ascorel    (Searle)
Ascorium    (Medisure)
Ascorlet    (Euro)
Ascorvit    (Epla)
Ascotran    (Hassan)
Ascozole    (Asian)
Asept    (Medisave)
Asfen    (Remington)
Asfree    (Medisure)
Ashmol    (Navegal)
Ashtec    (Elite)
Asician    (Asian)
Asilez    (Efroze)
Asilix    (Asian)
Askamide    (Askari)
Askogix    (Ideal)
Askorex    (Ideal)
Askosaid    (Ideal)
Askprin    (Askari)
Askprin-S    (Askari)
Askprol    (Askari)
Askprol C    (Askari)
Asmacaine    (Elite)
Asmakast    (Epla)
Asmakast-10    (Epla)
Asmakast-5 Chewable    (Epla)
Asmanyl    (Mediceena)
Asmarax    (Mediceena)
Asmasal    (Opal)
Asmatol    (Siza)
Asmax    (E Pharm)
Asmofen    (Medicaids)
Asmol    (Irza)
Asmolin    (Irza)
Asoquin    (Hassan)
Asovil    (Askari)
Aspa    (Highnoon)
Aspen    (Zephyr)
Asperfin    (Davis)
Aspidis    (Zafa)
Aspirin    (Munawar)
Aspirin    (Pharmacare)
Aspirin    (Unexo)
Aspirin    (Wilshire)
Aspirin    (Ideal)
Aspirin    (Irza)
Aspirin    (Kpl)
Aspirin    (Ferozson)
Aspirin    (Flow)
Aspirin    (Medicaids)
Aspirin    (Shifa)
Aspirin    (Ferro)
Aspirin    (Ipram)
Aspirin    (Geofman)
Aspirin    (Lisko)
Aspirin    (Amros)
Aspirin    (Ardin)
Aspirin    (Lcpw)
Aspirin Comp    (Nawabsons Labs)
Aspirin Compound    (Progressive Lab)
Aspirin Compound    (Kpl)
Aspirin Compound    (Ideal)
Aspirin Dispersible    (Euro)
Aspirin Soluble    (Nawabsons Labs)
Aspisafe    (Zafa)
Aspiwan    (Nawan Labs)
Aspril    (Candid)
Aspro    (Reckitt)
Asrin    (Star)
Asset       (Pearl)
Astaclor    (Astellas)
Astadol    (Hoffman)
Astalexim    (Astellas)
Astat    (Medisure)
Astatin    (Pharmacare)
Astedime    (Astellas)
Astedyn    (Astellas)
Astel    (Fynk)
Astelabect    (Astellas)
Astelexin    (Astellas)
Astemine    (Siza)
Asterotide    (Hoffman)
Astetaxm    (Astellas)
Astetime    (Astellas)
Astexim    (Astellas)
Astexone    (Astellas)
Astha Mac    (Mac & Rans)
Asthacure    (Medicraft)
Asthalin Forte    (Eros)
Asthama    (Olive Labs)
Asthamin    (Kohs)
Asthamol    (Epoch)
Asthamol-2    (Epoch)
Asthamol-4    (Epoch)
Asthanil    (Siza)
Astharid    (Beste)
Asthasim    (Sims)
Asthavent Hfa    (Highnoon)
Asthonex    (Medera)
Asthotifen    (Zafa)
Asthyline    (Eros)
Astin    (Getz)
Astra    (Kurative)
Astrid    (Astarl)
Astron    (E Pharm)
Asunra    (Novartis)
Asvs    (Amson)
Aswad    (Robins)
Atadine    (Excel)
Atarax    (Gsk)
Atasart    (Hansel)
Atastan    (Rakaposhi)
Atcine    (Atco)
Atcocee-500    (Atco)
Atcoflox    (Atco)
Atcogen 0.1%    (Atco)
Atcogrel    (Atco)
Atcol    (Atco)
Atconate    (Atco)
Atcoplex -C    (Atco)
Atcopram    (Atco)
Atcora    (Caylex)
Atcosef    (Atco)
Atd+1    (Unexo)
Atd+2    (Unexo)
Atd+3    (Unexo)
Atd+4    (Unexo)
Atease    (Pharmevo)
Atecard    (Medizan Lab)
Atelor    (Pharmedic)
Atem    (Chiesi)
Atenblock    (Everest)
Ateno-Heart    (Friends)
Atenocard    (Mediate)
Atenolol    (Batala)
Atenolol    (Zafa)
Atenolol    (Ideal)
Atenolol    (Pliva)
Atenopharm    (E Pharm)
Atenorm    (Ferozson)
Atenosaf    (Saaaf)
Atenoscot    (Scotmann)
Ateroxide    (Majeed)
Atg Fresenius    (Universal)
Athenil    (Searle)
Athiol    (Siza)
Athofix    (Schazoo)
Athroxen    (Don Valley)
Atimos    (Chiesi)
Atiser    (Panacea)
Ativan    (Pfizer)
Atiza    (Asian)
Atizor    (Macter)
Atizox    (Macter)
Atl    (Mega Pharma)
Atlin    (Bosch)
Atlin Plus    (Bosch)
Atm Dispersible    (Genome)
Atmos    (Scotmann)
Atn    (Flow)
Atnaf    (Medisure)
Atneson    (English)
Atodine    (Macquins)
Atomin    (Semos)
Atopazole    (Ppp)
Atopitar    (Geofman)
Atorex    (Dyson R L)
Atorin    (Fynk)
Atorlip    (Pearl)
Atorsan    (Novartis)
Atorscot    (Scotmann)
Atorva    (Pharmatec)
Atorvastin    (Orta)
Atostat    (Don Valley)
Atoxan    (Swiss Pharma)
Atozet    (Hilton)
Atrachol    (Kurative)
Atramed    (Mediceena)
Atrata    (S.J.& G)
Atrelax    (Abbott)
Atridol    (Global)
Atril    (Star)
Atrocard    (Hilton)
Atrodiphen    (Aims)
Atrolate    (Rex)
Atrolead    (Leads)
Atromin    (Noa Hemis)
Atronil    (Popular)
Atropine    (Lcpw)
Atropine    (Novartis)
Atropine    (Pdh)
Atropine    (Brookes)
Atropine    (Harmann)
Atropine Sulphate    (Shifa)
Atropisole    (Lcpw)
Atrosol    (Indus)
Atrotil    (Akson)
Atrovent    (Siza)
Ats    (Pliva)
Attention    (Xenon)
Attentra    (Genetics)
Atvast-10    (Woodward)
Atvast-20    (Woodward)
Aucain    (Alliance)
Augmentin    (Gsk)
Augmentin Bd    (Gsk)
Augmex    (Century)
Augmiclave    (Lisko)
Augmicon    (Lexicon)
Auropen    (Cirin)
Aurora    (Ferozson)
Aurorix    (Roche)
Aurum    (Fozan)
Auspogen    (Global)
Austa-Z    (Bloom)
Austaclin-T    (Bloom)
Austacute    (Bloom)
Austagent    (Bloom)
Austan    (Ambrosia)
Austan Fort    (Ambrosia)
Austasalic    (Bloom)
Austascab    (Bloom)
Austasone    (Bloom)
Av    (Fozan)
Avadine    (Pharmacare)
Avail    (Xenon)
Avallin    (Umersons)
Avalon    (Scotmann)
Avalon Chest    (Scotmann)
Avalon Flu    (Scotmann)
Avamys Nasal Spray.    (Gsk)
Avandia    (Gsk)
Avanol    (Askari)
Avascar Plus    (Paramount)
Avast    (Helicon)
Avastin    (Roche)
Avate    (Pearl)
Avatran    (Progressive Lab)
Avaxim    (Aventis)
Avazin    (Askari)
Avcard    (Hilton)
Avec    (Platinum)
Aveclor    (Aventek)
Avecol    (Aventek)
Avelin    (Bosch)
Avelon    (Eg Pharma)
Avelox    (Bayer)
Avemox    (Ferroza)
Avenia    (Paramount)
Aventriax    (Aventis)
Avepime    (Aventek)
Averon    (Aries)
Averox    (Linear)
Avesulzone    (Aventek)
Avetaz    (Aventek)
Avetek    (Aventek)
Avetron    (Aventek)
Avexil    (Aventek)
Aviant    (Gray'S)
Avifix    (Shrooq)
Avil    (Aventis)
Avil Retard    (Aventis)
Avilon    (Harmann)
Avinol    (Nawabsons Labs)
Avinza    (Mass)
Avirib    (Polyfine)
Aviscon    (Alliance)
Avita    (Siza)
Aviwin    (Medicraft)
Avocin    (Harmann)
Avodart    (Gsk)
Avomine    (Aventis)
Avor    (Popular)
Avorek    (Asian)
Avotin    (Highnoon)
Avsar    (Pharmevo)
Awa-Block    (Usawa)
Awa-Tragin    (Usawa)
Awabrod    (Usawa)
Awacip    (Usawa)
Awaclor    (Usawa)
Awahaem    (Usawa)
Awakast    (Usawa)
Awamed    (Usawa)
Awamether    (Usawa)
Awapram    (Usawa)
Awapro    (Usawa)
Awarax    (Usawa)
Awardin    (Werrick)
Awardin Plus    (Werrick)
Awatrox    (Usawa)
Axadol Plus    (Medisure)
Axal    (Amson)
Axalina    (Alina)
Axalor    (Axis)
Axalyn    (Unexo)
Axamic    (Medera)
Axapram    (Unison)
Axcin Suspension    (Everest)
Axcin Tablet    (Novartis)
Axepime    (Eg Pharma)
Axesom     (Highnoon)
Axflam    (Alina)
Axicam    (Mass)
Axicon    (Axis)
Axid Neo    (Agp)
Axifax    (Axis)
Axifine    (Davis)
Axilent    (Envoy)
Axinat    (Acme)
Axocare    (Lexicon)
Axodine    (Gray'S)
Axodine-D    (Gray'S)
Axolev    (Zinta)
Axolox    (Qintar)
Axomec    (Silver)
Axon    (Rehman)
Axonor    (Zinta)
Azactam    (Gsk)
Azafrine    (Al-Habib)
Azanid    (Usawa)
Azapin    (Silver)
Azathioprine    (Turner)
Azebone    (Pharmix)
Azecid    (Caraway)
Azecil    (Valor)
Azee-Vit    (Obsons)
Azelexin    (Dermagen)
Azelide    (Hygeia)
Azene    (Raazee)
Azenil    (Amarant)
Azera    (Medera)
Azi-Once Capsule    (Rotex)
Azi-Once Tablet    (Crest)
Azia    (Medera)
Azibect    (Bryon)
Azic    (Nabiqasim)
Azicin    (Acme)
Azicure    (Semos)
Azide    (Atco)
Azidol    (Alliance)
Azidose    (Shaheen Pharma)
Azigood    (Goodman L)
Azilite    (Webrose)
Azimal    (Shazal)
Azimic    (Medera)
Azimycin    (Mediceena)
Aziomak    (Makson)
Aziotic    (Everest)
Azir    (Innvotek)
Azirol    (Harmann)
Azirolide    (Pdh)
Azirom    (Macquins)
Aziromycin    (Nawan Labs)
Azisia    (Ambrosia)
Azit    (Raazee)
Azita    (Tg)
Azitab    (Cherwel)
Azitek Suspension    (Hygeia)
Azitek Tablet    (Hygeia)
Azithadvan    (Advanced)
Azithro    (Goodman L)
Azithrocid    (Universal)
Azithrocin    (Bex)
Azithromycin    (Unipharma)
Azithrosaf    (Saaaf)
Azithsun    (Hisun)
Azitral    (Novamed)
Azitrix    (Caraway)
Aziva    (Noa Hemis)
Aziver    (Florence)
Azivid    (Mbl)
Aziwin    (Jinnah)
Azix    (Prays)
Azizen    (Medizan Lab)
Azizox    (Alliance)
Azm    (Ethical)
Azmacort    (Aventis)
Azmolin    (Dr.Raza)
Azo    (Ethical)
Azobit    (Wnsfeild)
Azobrain    (Winbrain)
Azocam    (Mendoza)
Azocin     (Trison)
Azocure    (Orta)
Azodor    (Opal)
Azofas    (Fassgen)
Azofin    (Alkemy)
Azoflox    (Delta)
Azogen     (Rogen)
Azogil    (Glitz)
Azogyl    (Z-Jans)
Azoheim    (Pakheim)
Azolam    (Merck)
Azolex    (Pharmacare)
Azolib    (Stalwart)
Azolive    (Olive Labs)
Azom    (Lotus)
Azomax    (Novartis)
Azomed    (Medera)
Azomer    (Miracle)
Azomexin    (Paramount)
Azomin    (Eg Pharma)
Azomite    (Ambrosia)
Azomycin    (Pulse)
Azopik    (Wise)
Azoprine    (Global)
Azopt    (Novartis)
Azores    (Saydon)
Azorox    (Caylex)
Azorox    (Jawa)
Azosin    (Sante)
Azosul    (Z-Jans)
Azotag    (Biorex)
Azotek    (Saffron)
Azoten    (Danas)
Azotine       (Nimrall)
Azour    (Obs)
Azowin      (Wise)
Azoxin    (Flow)
Azpar    (Zesion)
Azrocin    (Obsons)
Azrowin    (Wnsfeild)
Aztor Ez    (Paramount)
Aztrix    (Medisure)
Azura    (Wilshire)
Azure    (Fynk)
Azza    (Genome)
B Cap    (Biolabs)
B-12    (Dosaco)
B-Ad    (Danas)
B-Cef    (Alied)
B-Complex    (Venus)
B-Complex    (Unexo)
B-Complex Lysine    (Nawabsons Labs)
B-Compound Forte    (Ethical)
B-Fen    (Helicon)
B-Fix    (Evergreen)
B-Fusid    (Neutro)
B-Gen    (Biogen)
B-Genta    (Wellborne)
B-Lact    (Brookes)
B-Lex    (Rasco)
B-Loc    (Novamed)
B-Metho    (Wellborne)
B-Penta    (Wellborne)
B-Quin    (Akson)
B-Stop    (Saydon)
B-Vert      (Focus & Rulz)
B-Vir    (Danas)
B.C.Plex    (Indus)
B.Clyse    (Opal)
B.Complex    (Shifa)
B.Complex Forte    (Shifa)
B.Compound    (Shifa)
B.E.S    (Medipak)
B.M.T.    (Medera)
B.P.Ace    (Polyfine)
B.S.S    (Medipak)
Babi Salt    (Polyfine)
Babilyte    (Medipak)
Baby Active    (Social)
Baby Aid    (Derma Tech)
Baby Chest Rub    (Woodward)
Baby Rhinocol    (Schazoo)
Baby-S    (Saydon)
Babynol    (Woodward)
Babyton    (Salza)
Bacacin    (Cirin)
Baccidal    (Gray'S)
Bacidal    (Aries)
Bacimet    (Davis)
Bacimix    (Epla)
Bacimix-P    (Epla)
Bacimyc    (Z-Jans)
Bacip    (Surge)
Bacistat    (Gray'S)
Bacitran    (Lisko)
Bacivid    (Umersons)
Back-On    (Alfalah Pharma)
Baclin    (Maq)
Baclor    (Pliva)
Baclorax    (Mediceena)
Bacnox    (Mass)
Bacrid    (Neutro)
Bactacin    (Pharmacare)
Bactamox Plus    (Bosch)
Bactazime    (Hamaz)
Bactecef    (Accurate)
Bacteflox    (Drugs)
Bacteronil    (Medera)
Bactex    (Roryan Pharma)
Bacthrow    (Hisun)
Bacticef    (Medicraft)
Bacticlor    (Hiranis)
Bactigen    (Pharmethics)
Bactimed    (Medicraft)
Bactimox    (Valor)
Bactinor    (Remington)
Bactipime    (Makson)
Bactipront    (Pfizer)
Bactipront Duplex    (Pfizer)
Bactirid    (Medicraft)
Bactivid    (Dr.Raza)
Bactizith    (Woodward)
Bactizone    (Mass)
Bacto-Link    (Ipram)
Bactocef    (Swiss Pharma)
Bactoderm    (Gsk)
Bactogen    (Biogen)
Bactoxyl    (Ferroza)
Bactrim    (Roche)
Bactrim Forte    (Roche)
Bactrizole Ds    (Lcpw)
Bactroban    (Gsk)
Bactum    (Genome)
Bacty Forte    (Flow)
Bacus    (Elko)
Bacxime    (Swiss Pharma)
Bagodryl Dm    (Delux)
Bakacin    (Global)
Bakagesic    (Searle)
Bal-Vit    (Hassan)
Balamin    (Venture)
Balance Salt    (Novartis)
Balance-D    (Slimfit)
Balanta    (Global)
Balmax    (Macquins)
Balp    (Isis)
Bamaryl    (Orta)
Bambac    (Opal)
Bambec    (Barrett)
Bambia    (Mkb)
Bambu    (Alliance)
Bambuscot    (Scotmann)
